Title,CreateDate,CreateUser
Part usage,2022/08/01 08:22:36,karim
FromDate,ToDate,LineName,MachineName,Option,ReportType
2022/07/25 06:00:00,2022/08/01 06:00:00,,,0,Type-A
MachineName,RecipeName,RecipeStartTime,RecipeEndTime,PartNumber,Stage,GroupKey,Pos,SubPos,Class,PickupCount,TotalPartsUsed,RejectParts,PickupMiss,ErrorParts,DislodgedParts,DislodgedRate,RescanCount,LCRCheckUsed,PickupRate,RejectRate,ErrorRate,SuccessRate,UnitName,FIDL
NXT1,FINCA02-001-CP2S_T_A___,2022/08/01 04:17:32,2022/08/01 06:00:00,FIN0000003116,2,0,22,0,Feeder,1152,1152,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BL 560389
NXT1,FINCA02-001-CP2S_T_A___,2022/08/01 04:17:32,2022/08/01 06:00:00,FIN0000001356,2,0,24,0,Feeder,1153,1153,0,0,0,1,0.087,0,0,99.913,0.000,0.000,99.913,DP,KT8BE 019285
NXT1,FINCA02-001-CP2S_T_A___,2022/08/01 04:17:32,2022/08/01 06:00:00,FIN0000003197,2,0,25,0,Feeder,288,288,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BL 560438
NXT1,FINCA02-001-CP2S_T_A___,2022/08/01 04:17:32,2022/08/01 06:00:00,FIN0000003198,1,0,24,0,Feeder,552,552,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL 292624
NXT1,FINCA02-001-CP2S_T_A___,2022/08/01 04:17:32,2022/08/01 06:00:00,FIN0000003141,1,0,23,0,Feeder,3312,3312,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL G13041
NXT1,FINCA02-001-CP2S_T_A___,2022/08/01 04:17:32,2022/08/01 06:00:00,FIN0000003145,1,0,22,0,Feeder,1932,1932,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL 988362
NXT1,FINCA0001-002DP1S_T_A__,2022/08/01 01:52:55,2022/08/01 04:17:32,FIN0000003140,3,0,42,0,Feeder,244,244,0,0,0,1,0.410,0,0,99.590,0.000,0.000,99.590,DP,KT08B 326587
NXT1,FINCA0001-002DP1S_T_A__,2022/08/01 01:52:55,2022/08/01 04:17:32,FIN0000003209,2,0,20,0,Feeder,885,885,0,0,2,38,4.294,0,0,95.706,0.000,0.226,95.480,DP,KT8BE 125602
NXT1,FINCA0001-002DP1S_T_A__,2022/08/01 01:52:55,2022/08/01 04:17:32,FIN0000003130,2,0,19,0,Feeder,432,432,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL B15017
NXT1,FINCA0001-002DP1S_T_A__,2022/08/01 01:52:55,2022/08/01 04:17:32,FIN0000003209,2,0,21,0,Feeder,51,51,0,0,0,15,29.412,0,0,70.588,0.000,0.000,70.588,DP,KT8BE 125602
NXT1,FINCA0001-002DP1S_T_A__,2022/08/01 01:52:55,2022/08/01 04:17:32,FIN0000003181,4,0,11,0,Feeder,535,535,0,0,8,23,4.299,0,0,95.701,0.000,1.495,94.206,DP,KT24L 108227
NXT1,FINCA0001-002DP1S_T_A__,2022/08/01 01:52:55,2022/08/01 04:17:32,FIN0000003181,4,0,7,0,Feeder,12,12,0,0,10,2,16.667,0,0,83.333,0.000,83.333,-0.000,DP,KT24L 108227
NXT1,FINCA0001-002DP1S_T_A__,2022/08/01 01:52:55,2022/08/01 04:17:32,FIN0000003181,4,0,6,0,Feeder,8,8,0,0,6,2,25.000,0,0,75.000,0.000,75.000,0.000,DP,KT24L 108227
NXT1,FINCA0001-002DP1S_T_A__,2022/08/01 01:52:55,2022/08/01 04:17:32,FIN0000003140,3,0,45,0,Feeder,271,271,0,0,0,10,3.690,0,0,96.310,0.000,0.000,96.310,DP,KT08B 326587
NXT1,FINCA0001-002DP1S_T_A__,2022/08/01 01:52:55,2022/08/01 04:17:32,FIN0000003130,2,0,2,0,Feeder,73,73,0,0,0,1,1.370,0,0,98.630,0.000,0.000,98.630,DP,KT8FL B15017
NXT1,FINCA0001-002DP1S_T_A__,2022/08/01 01:52:55,2022/08/01 04:17:32,FIN0000003209,2,0,1,0,Feeder,132,132,0,0,0,5,3.788,0,0,96.212,0.000,0.000,96.212,DP,KT8BE 125602
NXT1,FINCA0001-002DP1S_T_A__,2022/08/01 01:52:55,2022/08/01 04:17:32,FIN0000003210,1,0,4,0,Feeder,504,504,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL G13009
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC04351,4,0,33,0,Feeder,236,236,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BL 542550
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC01850,4,0,34,0,Feeder,326,326,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BC 837273
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC06960,5,0,10,0,Feeder,373,373,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT12F 020525
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAR1686,2,0,36,0,Feeder,1045,1045,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL 277021
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAT1200,3,0,35,0,Feeder,495,495,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL 292738
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC06872,3,0,13,0,Feeder,910,910,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT08B 326574
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC06872,3,0,39,0,Feeder,5,5,0,0,1,4,80.000,0,0,20.000,0.000,20.000,0.000,DP,KT8FL D06522
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSRC13760,2,0,37,0,Feeder,404,404,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL 988359
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAC1583,2,0,38,0,Feeder,2628,2628,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BL 560436
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDA00560,5,0,8,0,Feeder,226,226,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT12F 020855
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSCC00460,5,0,42,0,Feeder,457,457,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT12F 020512
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDB04600TRAY,6,0,A1,2,Tray,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,TULT(A),
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSVB00101,6,0,44,0,Feeder,510,510,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT16A 024261
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDB04610,6,0,A1,1,Tray,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,TULT(A),
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDA06970,6,0,41,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT24A 021551
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC06990,5,0,15,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT12B 040271
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC06960,5,0,6,0,Feeder,648,648,0,0,0,1,0.154,0,0,99.846,0.000,0.000,99.846,DP,KT12B 050811
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC06970,5,0,29,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT12B 057669
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSCC00460,5,0,27,0,Feeder,54,54,0,0,0,1,1.852,0,0,98.148,0.000,0.000,98.148,DP,KT12F 020525
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAD1166,5,0,31,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT12B 040167
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAU1358,5,0,21,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT16A 023479
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC04590,5,0,23,0,Feeder,510,510,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT12F 168999
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDA00560,5,0,19,0,Feeder,29,29,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT12B 040280
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSRC15920,5,0,13,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT16A 023476
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDA06411,4,0,29,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL 292737
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC04540,4,0,28,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL G13151
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC01890,4,0,27,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BE 132279
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC06980,4,0,20,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL G13003
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC05150,4,0,16,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL B15069
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSRC15930,4,0,19,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BE 045950
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAC1164,4,0,24,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT08B 326398
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC01850,4,0,23,0,Feeder,1208,1208,0,0,0,4,0.331,0,0,99.669,0.000,0.000,99.669,DP,KT8FL G13170
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSRC08310,4,0,25,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BE 132261
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSCA06640,4,0,26,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL G13043
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC04351,4,0,22,0,Feeder,1043,1043,0,0,0,4,0.384,0,0,99.616,0.000,0.000,99.616,DP,KT8FL 277192
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSCA02020,4,0,18,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL 292718
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAC1584,3,0,30,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL 277060
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAR1698,3,0,31,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL G13090
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAR1688,3,0,27,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BE 132460
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSRC15940,3,0,33,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BE 054453
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAR1710,3,0,28,0,Feeder,510,510,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL G13109
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAR1682,3,0,23,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BB 037848
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAR1689,3,0,24,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BE 049053
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSRC10130,3,0,29,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BE 052342
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAD1121,3,0,32,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BB 037908
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC06950,3,0,25,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BL 560378
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC04560,3,0,16,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL 292657
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAC1574,3,0,20,0,Feeder,1022,1022,0,0,1,1,0.098,0,0,99.902,0.000,0.098,99.804,DP,KT8FL 277179
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAC1586,3,0,17,0,Feeder,255,255,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL G13008
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC07020,3,0,22,0,Feeder,510,510,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT08B 326513
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAR1692,3,0,19,0,Feeder,1531,1531,0,0,0,1,0.065,0,0,99.935,0.000,0.000,99.935,DP,KT8FL D01868
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSRC15860,3,0,10,0,Feeder,2295,2295,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL 277094
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAT1200,3,0,26,0,Feeder,275,275,0,0,0,5,1.818,0,0,98.182,0.000,0.000,98.182,DP,KT8BL 542732
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSDC06872,3,0,21,0,Feeder,370,370,0,0,0,5,1.351,0,0,98.649,0.000,0.000,98.649,DP,KT08B 326519
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSRC13660,2,0,16,0,Feeder,512,512,0,0,0,2,0.391,0,0,99.609,0.000,0.000,99.609,DP,KT8FL 988358
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAR1685,2,0,17,0,Feeder,510,510,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8FL D06524
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAR1664,2,0,19,0,Feeder,1020,1020,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT08B 326397
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,BRAC1598,2,0,18,0,Feeder,1275,1275,0,0,0,0,0.000,0,0,100.000,0.000,0.000,100.000,DP,KT8BE 045937
NXT1,BRAXZ2V00741A00S_T____A___,2022/07/31 22:49:14,2022/08/01 01:52:55,ATSRC13760,2,0,26,0,Feeder,107,107,0,0,1,0,0.000,0,0,100.000,0.000,0.935,99.065,DP,KT8BE 017918
